pcode,domain1,domain2,domain3,depth,complexity,difficulty,error,answer
h2_1503_a01,다항식,다항식의 연산,덧셈과 뺄셈,3.0,1.0,5.0,0.0,3.0
h2_1503_a03,방정식과 부등식,이차방정식,근과 계수의 관계,3.0,1.0,8.0,0.0,4.0
h2_1503_a05,집합과 명제,집합의 뜻과 표현,서로 같은 집합,3.0,1.0,7.0,0.0,5.0
h2_1503_a06,다항식,항등식과 나머지정리,계수비교법,3.0,1.0,10.0,0.0,5.0
h2_1503_a07,함수,함수,역함수의 정의,3.0,1.0,8.0,0.0,3.0
h2_1503_a08,도형의 방정식,직선의 방정식,선문의 내분점과 외분점,3.0,1.0,21.0,0.0,4.0
h2_1503_a09,집합과 명제 / 방정식과 부등식 / 다항식,명제 / 여러가지 부등식 / 인수분해,"충분조건, 필요조건, 필요충분조건",3.0,3.0,15.0,0.0,2.0
h2_1503_a10,함수,함수,일대일대응,3.0,1.0,18.0,0.0,1.0
h2_1503_a11,방정식과 부등식 / 방정식과 부등식,여러가지 부등식 / 여러가지 방정식,0,2.0,2.0,34.0,0.0,4.0
h2_1503_a12,방정식과 부등식,여러가지 방정식,근과 계수의 관계,3.0,1.0,18.0,0.0,3.0
h2_1503_a13,방정식과 부등식,이차방정식,이차함수의 그래프와 직섬의 교점,3.0,1.0,9.0,0.0,1.0
h2_1503_a14,방정식과 부등식,이차방정식,근과 계수의 관계,3.0,1.0,27.0,0.0,3.0
h2_1503_a15,다항식 / 다항식,항등식과 나머지정리 / 항등식과 나머지정리,나머지정리 : 일차식으로 나눌 때의 나머지 / 나머지정리 : 이차식으로 나눌 때의 나머지,3.0,1.0,20.0,0.0,1.0
h2_1503_a16,함수 / 도형의 방정식,유리함수 / 도형의 이동,유리함수의 그래프의 성질 / 평행이동의 활용,3.0,2.0,25.0,0.0,5.0
h2_1503_a18,도형의 방정식,도형의 이동,점의 대칭이동,3.0,1.0,16.0,0.0,2.0
h2_1503_a19,도형의 방정식,원의 방정식,원과 직선의 위치 관계 : 접할 때,3.0,1.0,18.0,0.0,4.0
h2_1503_a20,다항식 / 방정식과 부등식,항등식과 나머지정리 / 이차방정식과 이차함수,미정계수 구하기 : 계수비교법,3.0,2.0,29.0,0.0,5.0
h2_1503_a21,도형의 방정식,원의 방정식,원과 직선의 위치 관계 : 서로 다른 두 점에서 만날 때,3.0,1.0,27.0,0.0,2.0
h2_1803_b02,다항식,다항식의 연산,다항식의 뺄셈,3.0,1.0,10.0,0.0,5.0
h2_1803_b03,방정식과 부등식,복소수,복소수의 덧셈과 곱셈,3.0,1.0,10.0,0.0,4.0
h2_1803_b04,도형의 방정식,평면좌표,선분의 내분점,3.0,1.0,10.0,0.0,4.0
h2_1803_b05,함수,함수,합성함수의 함수값,3.0,1.0,20.0,0.0,2.0
h2_1803_b06,다항식,항등식과 나머지정리,항등식,3.0,1.0,20.0,0.0,1.0
h2_1803_b07,다항식,항등식과 나머지정리,나머지정리,3.0,1.0,20.0,0.0,2.0
h2_1803_b08,함수,무리함수,무리함수 그래프의 평행이동,3.0,1.0,20.0,0.0,3.0
